Altium Designer Pick and Place Locations
C:\Users\julianstj\Desktop\WorkNotes\Projects\PTP\CheapPTM\TI_AM64\ECAD\Project Outputs for OCP-TimeCardMini-TI\Pick Place for OCP-TimeCardMini-TI_V1.txt

========================================================================================================================
File Design Information:

Date:       10/08/23
Time:       14:59
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator Comment                      Layer       Footprint                                Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                          
R260       59_1%_0402                   TopLayer    RESC1005X40X25ML10T10                    3093.462      -2869.817     180      ""                                                                                                                                   
R259       DNI_0_5%_0402                BottomLayer RESC1005X40X25LL10T10                    1980.315      -3513.532     0        ""                                                                                                                                   
R73        DNI_0_5%_0402                BottomLayer RESC1005X40X25LL10T10                    1980.315      -3476.378     0        ""                                                                                                                                   
R72        3.01K_1%_0402                BottomLayer RESC1005X40X25LL05T10                    2632.796      -2558.068     0        ""                                                                                                                                   
R258       0_5%_0402                    TopLayer    RESC1005X40X25LL10T10                    2435.041      -1628.775     0        ""                                                                                                                                   
R257       0_5%_0402                    TopLayer    RESC1005X40X25LL10T10                    2416.113      -2131.854     270      ""                                                                                                                                   
R256       0_5%_0402                    TopLayer    RESC1005X40X25LL10T10                    2936.341      -1309.992     0        ""                                                                                                                                   
R255       0_5%_0402                    TopLayer    RESC1005X40X25LL10T10                    2389.174      -1537.975     270      ""                                                                                                                                   
R254       0_5%_0402                    TopLayer    RESC1005X40X25LL10T10                    3748.382      -1390.045     90       ""                                                                                                                                   
R253       0_5%_0402                    TopLayer    RESC1005X40X25LL10T10                    3259.130      -1710.218     270      ""                                                                                                                                   
R252       0_5%_0402                    TopLayer    RESC1005X40X25LL10T10                    2856.791      -1309.992     0        ""                                                                                                                                   
R251       0_5%_0402                    TopLayer    RESC1005X40X25LL10T10                    2391.422      -1467.964     270      ""                                                                                                                                   
Y6         ABM7-25.000MHZ-D2Y-T         TopLayer    FP-ABM7-MFG                              2179.134      -2347.363     180      "Crystal 25MHz ±20ppm 18pF SMD-2 6mm x 3.5mm"                                                                                        
Y5         ABM7-25.000MHZ-D2Y-T         TopLayer    FP-ABM7-MFG                              2172.901      -1474.754     90       "Crystal 25MHz ±20ppm 18pF SMD-2 6mm x 3.5mm"                                                                                        
Y4         ABM7-25.000MHZ-D2Y-T         TopLayer    FP-ABM7-MFG                              3085.251      -1586.074     90       "Crystal 25MHz ±20ppm 18pF SMD-2 6mm x 3.5mm"                                                                                        
Y1         ABM7-25.000MHZ-D2Y-T         TopLayer    FP-ABM7-MFG                              3071.062      -3006.425     0        "Crystal 25MHz ±20ppm 18pF SMD-2 6mm x 3.5mm"                                                                                        
U39        FT234XD-R                    TopLayer    FP-DFN-12-IPC_B                          4479.310      -2629.863     270      "IC USB SERIAL BASIC UART 12DFN"                                                                                                     
U37        TMUX1208PWR                  TopLayer    FP-PW0016A-IPC_A                         2620.408      -3314.919     90       "IC SWITCH SINGLE 16TSSOP"                                                                                                           
U36        SI53306-B-GM                 TopLayer    FP-SI53306-B-GM-MFG                      1405.189      -2372.723     0        "IC BUFFER/LEVEL XLATOR 1:4 16QFN"                                                                                                   
U35        ADM1085AKSZ-REEL7            TopLayer    FP-KS-6-IPC_B                            4004.469      -1002.458     90       "IC SUPERVISOR 1 CHANNEL SC70-6"                                                                                                     
U34        ADM1085AKSZ-REEL7            TopLayer    FP-KS-6-IPC_B                            3387.145      -3312.912     0        "IC SUPERVISOR 1 CHANNEL SC70-6"                                                                                                     
U33        SN74LVC1G08DBVR              TopLayer    DBV0005A_M                               3362.246      -3537.842     180      "Single 2-Input Positive-AND Gate, DBV0005A, LARGE T&R"                                                                              
U31        MIC94083YFT-TR               TopLayer    FP-FTDFN085085-4LD-PL-1-MFG              2752.210      -908.230      90       "IC PWR SWITCH P-CHAN 1:1 4TMLF"                                                                                                     
U30        ADM1085AKSZ-REEL7            TopLayer    FP-KS-6-IPC_B                            2427.923      -581.595      0        "IC SUPERVISOR 1 CHANNEL SC70-6"                                                                                                     
U29        ADP323ACPZ-R7                TopLayer    ADI-CP-16-27_N                           2381.580      -761.316      0        "Triple, 200 mA, Low Noise, High PSRR Voltage Regulator, 2.5 to 5.5 V Vin, Adjustable Vout, Industrial, 16-pin QFN (CP-16-27), Reel" 
U27        MIC94083YFT-TR               TopLayer    FP-FTDFN085085-4LD-PL-1-MFG              2196.443      -2725.697     270      "IC PWR SWITCH P-CHAN 1:1 4TMLF"                                                                                                     
U26        ADM1085AKSZ-REEL7            TopLayer    FP-KS-6-IPC_B                            2007.060      -2755.486     90       "IC SUPERVISOR 1 CHANNEL SC70-6"                                                                                                     
U25        ADP323ACPZ-R7                TopLayer    ADI-CP-16-27_N                           1859.165      -2490.557     180      "Triple, 200 mA, Low Noise, High PSRR Voltage Regulator, 2.5 to 5.5 V Vin, Adjustable Vout, Industrial, 16-pin QFN (CP-16-27), Reel" 
U24        DP83869HMRGZT                TopLayer    FP-RGZ0048B-IPC_A                        2267.470      -1912.248     0        "IC TRANSCEIVER 1/1 48FN"                                                                                                            
U23        MIC94083YFT-TR               TopLayer    FP-FTDFN085085-4LD-PL-1-MFG              3965.411      -1287.698     0        "IC PWR SWITCH P-CHAN 1:1 4TMLF"                                                                                                     
U22        ADM1085AKSZ-REEL7            TopLayer    FP-KS-6-IPC_B                            3380.431      -1163.066     0        "IC SUPERVISOR 1 CHANNEL SC70-6"                                                                                                     
U21        ADP323ACPZ-R7                TopLayer    ADI-CP-16-27_N                           3732.399      -1163.143     180      "Triple, 200 mA, Low Noise, High PSRR Voltage Regulator, 2.5 to 5.5 V Vin, Adjustable Vout, Industrial, 16-pin QFN (CP-16-27), Reel" 
U20        DP83869HMRGZT                TopLayer    FP-RGZ0048B-IPC_A                        3463.938      -1520.260     270      "IC TRANSCEIVER 1/1 48FN"                                                                                                            
U19        CBTL01023GM                  TopLayer    FP-SOT1049-3-MFG                         1770.285      -2008.544     0        "DisplayPort, PCIe, USB Switch IC 1 Channel 10-XQFN (1.55x2)"                                                                        
U18        CBTL01023GM                  TopLayer    FP-SOT1049-3-MFG                         1807.735      -1352.707     0        "DisplayPort, PCIe, USB Switch IC 1 Channel 10-XQFN (1.55x2)"                                                                        
U17        CBTL01023GM                  TopLayer    FP-SOT1049-3-MFG                         1773.729      -1796.106     0        "DisplayPort, PCIe, USB Switch IC 1 Channel 10-XQFN (1.55x2)"                                                                        
U16        CBTL01023GM                  TopLayer    FP-SOT1049-3-MFG                         1891.487      -1119.707     0        "DisplayPort, PCIe, USB Switch IC 1 Channel 10-XQFN (1.55x2)"                                                                        
U15        MIC94083YFT-TR               BottomLayer FP-FTDFN085085-4LD-PL-1-MFG              3954.694      -3442.875     180      "IC PWR SWITCH P-CHAN 1:1 4TMLF"                                                                                                     
U14        S25FL256SAGNFI001            TopLayer    CYP-WSON-8_L                             3485.951      -3110.404     0        "SPI Flash Memory, 2.7 to 3.6 V, -40 to 85 degC, 8-Pin WSON, RoHS, Tube"                                                             
U10        TPS542951PWPR                TopLayer    FP-PWP0016K-IPC_C                        3229.420      -708.676      0        "IC REG BCK ADJ 2A/3A DL 16HTSSOP"                                                                                                   
U5         LP38512MRX-ADJ/NOPB          TopLayer    MRA08B_M                                 428.956       -2548.963     0        "1.5A Fast-Transient Response Adjustable Low-Dropout Linear Voltage Regulator, 8-pin PSOP, Pb-Free"                                  
R247       27_1%_0402                   TopLayer    RESC1005X40X25NL05T05                    4642.571      -2602.418     180      ""                                                                                                                                   
R249       10K_1%_0402                  TopLayer    RESC1005X40X25LL05T10                    4455.832      -2460.731     90       ""                                                                                                                                   
